gene_id	Neu3h_R1
ENSG00000005238.16	1.655740454
ENSG00000005243.6	0.032173841
ENSG00000005302.14	3.465392987
ENSG00000005339.9	11.67967016
ENSG00000005379.12	4.067289066
ENSG00000005381.7	1046.455859
ENSG00000005436.10	1.805293456
ENSG00000005448.13	0.539079823
ENSG00000005483.16	16.28078058
ENSG00000005486.13	3.72467376
ENSG00000005700.11	2.43166725
ENSG00000005801.13	13.22297106
ENSG00000005810.14	32.27882933
ENSG00000005812.7	3.469108995
ENSG00000005844.14	7.277151062
ENSG00000005882.8	0.18536432
ENSG00000005884.14	0.129628953
ENSG00000005889.12	2.538279206
ENSG00000005893.12	9.719963657
ENSG00000005961.14	1.354150922
ENSG00000006007.8	10.91772908
ENSG00000006015.14	3.159145458
ENSG00000006016.7	0.17263075
ENSG00000006025.8	3.464886064
ENSG00000006062.10	1.315865562
ENSG00000006118.11	0.029327162
ENSG00000006125.13	6.115618395
ENSG00000006194.7	6.023329842
ENSG00000006210.6	0.05481655
ENSG00000006282.16	0.917644511
ENSG00000006327.10	1.439142439
ENSG00000006451.4	8.23304365
ENSG00000006453.10	0.004602545
ENSG00000006459.7	0.240470514
ENSG00000006468.10	0.889799652
ENSG00000006530.12	0.974391125
ENSG00000006534.12	5.353484719
ENSG00000006576.13	0.673106046
ENSG00000006607.10	5.159640581
ENSG00000006625.14	25.88013957
ENSG00000006634.4	4.067194177
ENSG00000006652.10	13.1083212
ENSG00000006695.7	1.152686943
ENSG00000006704.7	1.112579353
ENSG00000006712.11	11.2146165
ENSG00000006715.12	9.231772313
ENSG00000006740.13	0.147914694
ENSG00000006744.15	6.3674011
ENSG00000006747.11	0.00734367
ENSG00000006756.12	3.021804723
ENSG00000006757.8	4.024878318
ENSG00000006831.9	9.377289576
ENSG00000006837.8	0.680671142
ENSG00000007047.11	2.550156461
ENSG00000007080.7	32.76180334
ENSG00000007168.9	4.137657364
ENSG00000007202.11	22.81362022
ENSG00000007237.15	4.286907873
ENSG00000007255.7	4.446649648
ENSG00000007264.10	26.84861241
ENSG00000007341.15	6.077895111
ENSG00000007350.13	0.003594663
ENSG00000007372.17	0.003514529
ENSG00000007376.4	4.671680929
ENSG00000007384.12	0.042508271
ENSG00000007392.13	20.94182852
ENSG00000007516.10	0.144381968
ENSG00000007520.3	7.076364438
ENSG00000007541.11	3.153138499
ENSG00000007545.12	3.02356465
ENSG00000007866.15	0.597964297
ENSG00000007923.12	19.75924369
ENSG00000007944.11	3.030786324
ENSG00000007968.6	2.789143797
ENSG00000008018.8	34.30045698
ENSG00000008056.9	0.152616861
ENSG00000008083.10	7.538680172
ENSG00000008128.19	4.017672616
ENSG00000008130.12	14.15361758
ENSG00000008256.12	3.23200362
ENSG00000008282.4	9.692275844
ENSG00000008283.12	0.05009061
ENSG00000008294.17	18.81285188
ENSG00000008300.11	1.222030992
ENSG00000008324.7	6.583071493
ENSG00000008382.12	0.061204759
ENSG00000008394.9	75.45236111
ENSG00000008405.8	2.546470997
ENSG00000008438.4	0.950305022
